Cell Barcode	cell_angle
D5_lib8_bc1_12_bc2_67_bc3_25	232.13268
D5_lib8_bc1_12_bc2_67_bc3_58	284.3833
D5_lib8_bc1_12_bc2_68_bc3_48	52.85144
D5_lib8_bc1_12_bc2_68_bc3_68	118.33989
D5_lib8_bc1_12_bc2_69_bc3_31	102.77313
D5_lib8_bc1_12_bc2_70_bc3_16	164.60953
D5_lib8_bc1_12_bc2_72_bc3_83	23.299072
D5_lib8_bc1_12_bc2_74_bc3_83	243.6289
D5_lib8_bc1_12_bc2_75_bc3_38	353.43097
D5_lib8_bc1_12_bc2_76_bc3_27	113.20401
D5_lib8_bc1_12_bc2_77_bc3_76	291.8974
D5_lib8_bc1_12_bc2_77_bc3_81	98.02295
D5_lib8_bc1_12_bc2_78_bc3_16	277.35843
D5_lib8_bc1_12_bc2_79_bc3_92	116.26413
D5_lib8_bc1_12_bc2_7_bc3_11	250.30084
D5_lib8_bc1_12_bc2_7_bc3_71	142.74228
D5_lib8_bc1_12_bc2_7_bc3_78	216.57687
D5_lib8_bc1_12_bc2_80_bc3_74	66.17462
D5_lib8_bc1_12_bc2_81_bc3_37	199.08191
D5_lib8_bc1_12_bc2_82_bc3_5	321.10727
D5_lib8_bc1_12_bc2_82_bc3_70	246.80359
D5_lib8_bc1_12_bc2_82_bc3_71	47.539917
D5_lib8_bc1_12_bc2_82_bc3_83	338.79913
D5_lib8_bc1_12_bc2_83_bc3_72	182.13618
D5_lib8_bc1_12_bc2_84_bc3_36	114.55777
D5_lib8_bc1_12_bc2_84_bc3_4	243.15637
D5_lib8_bc1_12_bc2_84_bc3_55	264.7132
D5_lib8_bc1_12_bc2_84_bc3_68	54.371796
D5_lib8_bc1_12_bc2_85_bc3_24	126.93063
D5_lib8_bc1_12_bc2_85_bc3_58	124.74951
D5_lib8_bc1_12_bc2_85_bc3_86	357.50793
D5_lib8_bc1_12_bc2_87_bc3_55	156.57918
D5_lib8_bc1_12_bc2_87_bc3_74	42.970215
D5_lib8_bc1_12_bc2_87_bc3_76	41.016907
D5_lib8_bc1_12_bc2_88_bc3_10	69.10797
D5_lib8_bc1_12_bc2_88_bc3_14	5.5932007
D5_lib8_bc1_12_bc2_89_bc3_22	270.15176
D5_lib8_bc1_12_bc2_8_bc3_15	6.1020203
D5_lib8_bc1_12_bc2_8_bc3_22	245.09558
D5_lib8_bc1_12_bc2_8_bc3_3	279.51755
D5_lib8_bc1_12_bc2_8_bc3_41	277.46243
D5_lib8_bc1_12_bc2_91_bc3_43	249.95732
D5_lib8_bc1_12_bc2_91_bc3_5	314.2077
D5_lib8_bc1_12_bc2_91_bc3_64	162.37599
D5_lib8_bc1_12_bc2_92_bc3_70	34.09851
D5_lib8_bc1_12_bc2_92_bc3_79	40.024963
D5_lib8_bc1_12_bc2_92_bc3_9	24.030273
D5_lib8_bc1_12_bc2_93_bc3_29	310.64795
D5_lib8_bc1_12_bc2_93_bc3_39	198.48413
