cell_angle	gene_angle	expression
-2.7337377	-1.845742	-0.28612292
-2.7337377	-1.7929845	-0.1840254
-2.7337377	-1.7332125	-0.22063026
-2.7337377	-1.664613	-0.16159016
-2.7337377	-1.6004579	-0.1771381
-2.7337377	-1.5372016	-0.20055316
-2.7337377	-1.4737895	-0.09797385
-2.7337377	-1.4143283	-0.021421947
-2.7337377	-1.3504637	0.025856633
-2.7337377	-1.286574	0.012401762
-2.7337377	-1.2294288	0.01351456
-2.7337377	-1.1617773	0.17340763
-2.7337377	-1.0991879	0.08220947
-2.7337377	-1.0390701	0.12562588
-2.7337377	-0.9705756	0.12279191
-2.7337377	-0.91467595	0.28203645
-2.7337377	-0.84836125	0.18963479
-2.7337377	-0.78868604	0.13607872
-2.7337377	-0.72499704	0.22423601
-2.7337377	-0.6600969	0.20276444
-2.7337377	-0.5979724	0.28630504
-2.7337377	-0.53507614	0.35427788
-2.7337377	-0.4735973	0.32990384
-2.7337377	-0.40828252	0.3727715
-2.7337377	-0.34730387	0.38091296
-2.7337377	-0.27862787	0.40481508
-2.7337377	-0.22182775	0.38349548
-2.7337377	-0.15465188	0.37573662
-2.7337377	-0.09927273	0.371759
-2.7337377	-0.0318861	0.44460887
-2.7337377	0.02799201	0.44629598
-2.7337377	0.09671569	0.47325444
-2.7337377	0.15451312	0.58065474
-2.7337377	0.22351313	0.524415
-2.7337377	0.2789104	0.4437301
-2.7337377	0.34950876	0.4691169
-2.7337377	0.40378928	0.51038915
-2.7337377	0.47168756	0.615479
-2.7337377	0.53422713	0.4784441
-2.7337377	0.5965102	0.39049873
-2.7337377	0.6614096	0.41275486
-2.7337377	0.7270498	0.45432028
-2.7337377	0.7836554	0.46385565
-2.7337377	0.8474586	0.3926365
-2.7337377	0.90598845	0.35388806
-2.7337377	0.9720614	0.47683996
-2.7337377	1.0351379	0.458885
-2.7337377	1.0968478	0.365232
-2.7337377	1.1600502	0.4277258
-2.7337377	1.2241919	0.3000413
-2.7337377	1.2835739	0.34927967
-2.7337377	1.3472459	0.2520675
-2.7337377	1.4118669	0.2384195
-2.7337377	1.4748223	0.13546185
-2.7337377	1.5360754	0.18843688
-2.7337377	1.5980599	0.07049318
-2.7337377	1.6663907	-0.07902704
-2.7337377	1.7288101	-0.08327564
-2.7337377	1.798456	-0.07189011
-2.7337377	1.8512938	-0.05926126
-2.7337377	1.9171097	-0.1737353
-2.7337377	1.9766657	-0.10565089
-2.7337377	2.0407388	-0.28003496
-2.7337377	2.1054275	-0.3415814
-2.7337377	2.1720955	-0.37959972
-2.7337377	2.2325804	-0.4205603
-2.7337377	2.2924125	-0.456104
-2.7337377	2.3573797	-0.4647727
-2.7337377	2.412255	-0.46978864
-2.7337377	2.479071	-0.48770916
-2.7337377	2.5419009	-0.70488137
-2.7337377	2.6124566	-0.41210645
-2.7337377	2.669185	-0.6816383
-2.7337377	2.7308786	-0.6446276
-2.7337377	2.7952273	-0.630096
-2.7337377	2.857693	-0.6134499
-2.7337377	2.9268115	-0.7864465
-2.7337377	2.9810236	-0.82737607
